filename,number_ipv6_packets,number_flow_packets,number_ipv6_conversations,hop_by_hop_header,routing_header,fragment_header,destination_header,authentication_header,encapsulation_header,average_packet_length_per_traffic,min_packet_length_per_traffic,max_packet_length_per_traffic,average_packet_length_per_flow,min_packet_length_per_flow,max_packet_length_per_flow,average_number_packets_per_flow,min_number_packets_per_flow,max_number_packets_per_flow,average_ipg_per_traffic,packets_per_second,Sum A ← B,Min A ← B,Max A← B,Average Packets A ← B,Sum A → B,Min A → B,Max A → B,Average A → B,Min Length/Conversation (Bytes),Max Length/Conversation (Bytes),Average Length/Conversation (Bytes),Min Number Packets/Conversation,Max Number Packets/Conversation,Average Number Packets/Conversation,Min Duration/Conversation,Max Duration/Conversation,Average Duration/Conversation
equinix-nyc.dirA.20181115-134100.UTC.anon.ipv6.pcap,473274,124029,12108,0,0,602,0,0,0,317.54,52,1504,773.79 ,60,1504,4.31,1,8830,0.000126776,7887.924058168,422870,0,106669,34.9248,49802,0,4519,4.1131,0,50762684,12362.41,1,106669,39.03,0,59.9991,24.2421
equinix-nyc.dirA.20181115-134200.UTC.anon.ipv6.pcap,446518,95332,12188,0,0,634,0,0,0,261.06,52,1504,641.81 ,60,1504,3.27,1,7354,0.000134373,7441.984279362,401351,0,105883,32.9300,44533,0,1550,3.6538,0,32311587,9515.79,1,105883,36.58,0,59.9999,24.7532
equinix-nyc.dirA.20181115-134300.UTC.anon.ipv6.pcap,440256,92327,12197,0,0,577,0,0,0,250.46,52,1504,662.19 ,60,1504,3.16,1,8829,0.000136284,7337.616998812,400468,0,106204,32.8333,39211,0,1535,3.2148,0,16146055,8996.70,1,106204,36.04,0,59.9989,24.2140
equinix-nyc.dirA.20181115-134400.UTC.anon.ipv6.pcap,433218,85865,12348,0,0,616,0,0,0,219.08,52,1504,539.10 ,54,1504,3.00,1,10036,0.000138498,7220.326354191,392619,0,105804,31.7961,39983,0,1485,3.2380,0,14795583,7643.43,1,105804,35.03,0,59.9989,24.0565
equinix-nyc.dirA.20181115-134500.UTC.anon.ipv6.pcap,449803,79356,12464,0,0,686,0,0,0,298.50,52,1504,520.95 ,60,1504,2.73,1,6670,0.000133392,7496.730660563,414193,0,106185,33.2311,34924,0,1125,2.8019,0,44445099,10718.19,1,106185,36.03,0,59.9978,24.2475
equinix-nyc.dirA.20181115-134600.UTC.anon.ipv6.pcap,446269,84117,12014,0,0,590,0,0,0,244.47,52,3032,490.50 ,60,1504,2.84,1,7078,0.000134448,7437.857574883,402679,0,106224,33.5174,43000,0,1375,3.5791,0,19304329,9037.26,1,106224,37.09,0,59.9995,24.1120
equinix-nyc.dirA.20181115-134700.UTC.anon.ipv6.pcap,424016,78234,11920,0,0,608,0,0,0,218.56,52,1504,549.27 ,60,1504,2.76,1,8420,0.000141504,7066.956183158,385541,0,106374,32.3440,37867,0,1435,3.1767,0,14890768,7728.23,1,106374,35.52,0,59.9996,24.9767
equinix-nyc.dirA.20181115-134800.UTC.anon.ipv6.pcap,451772,104141,12023,0,0,786,0,0,0,253.61,52,1504,631.72 ,60,1504,3.69,1,13359,0.000132810,7529.568973293,406148,0,105877,33.7809,44838,0,1772,3.7293,0,30105914,9467.24,1,105877,37.51,0,59.9981,24.6618
equinix-nyc.dirA.20181115-134900.UTC.anon.ipv6.pcap,435894,102207,12017,0,0,637,0,0,0,289.78,52,2060,771.81 ,60,1504,3.59,1,11992,0.000137647,7265.000741343,398605,0,105878,33.1700,36652,0,1525,3.0500,0,42199134,10458.58,1,105878,36.22,0,59.9992,24.0925
equinix-nyc.dirA.20181115-135000.UTC.anon.ipv6.pcap,451593,100456,12005,0,0,739,0,0,0,278.55,52,1504,772.00 ,60,1504,3.56,1,7191,0.000132863,7526.558906428,413140,0,104425,34.4139,37714,0,2312,3.1415,0,36683111,10421.56,1,104425,37.55,0,59.9999,24.8629
equinix-nyc.dirA.20181115-135100.UTC.anon.ipv6.pcap,462467,112798,12281,0,0,754,0,0,0,322.44,52,1504,726.57 ,60,1504,3.93,1,9723,0.000129739,7707.807484463,422597,0,106734,34.4106,39116,0,1455,3.1850,0,28292750,12082.77,1,106734,37.59,0,59.9994,23.4051
equinix-nyc.dirA.20181115-135200.UTC.anon.ipv6.pcap,429656,90036,11923,0,0,749,0,0,0,260.19,52,1504,680.54 ,60,1504,3.25,1,12488,0.000139647,7160.940494273,391285,0,102934,32.8176,37622,0,1784,3.1554,0,22869297,9320.84,1,102934,35.97,0,59.9999,24.1613
equinix-nyc.dirA.20181115-135300.UTC.anon.ipv6.pcap,456955,119626,11887,0,0,698,0,0,0,329.15,52,1504,845.51 ,60,1504,4.30,1,15333,0.000131304,7615.951826977,421732,0,105307,35.4784,34525,0,1265,2.9044,0,41002676,12593.85,1,105307,38.38,0,59.9994,25.3621
equinix-nyc.dirA.20181115-135400.UTC.anon.ipv6.pcap,562301,220297,11816,0,0,611,0,0,0,540.66,52,1504,1141.25,60,1504,7.86,1,36128,0.000106704,9371.715821948,522620,0,116499,44.2298,39070,0,1297,3.3065,0,171885835,25661.17,1,116499,47.53,0,59.9997,24.1202
equinix-nyc.dirA.20181115-135500.UTC.anon.ipv6.pcap,438765,95016,11929,0,0,718,0,0,0,247.91,52,1504,629.39 ,60,1504,3.21,1,13215,0.000136747,7312.804114750,399749,0,107044,33.5106,38298,0,1525,3.2104,0,16910608,9062.24,1,107044,36.72,0,59.9986,25.2986
equinix-nyc.dirA.20181115-135600.UTC.anon.ipv6.pcap,446421,92522,12076,0,0,612,0,0,0,254.44,52,1504,579.14 ,60,1504,3.08,1,13101,0.000134402,7440.374553236,401497,0,104308,33.2475,44312,0,4389,3.6694,0,16772628,9360.40,1,104308,36.91,0,59.9995,24.6391
equinix-nyc.dirA.20181115-135700.UTC.anon.ipv6.pcap,421916,83069,11985,0,0,753,0,0,0,227.36,52,1545,520.27 ,60,1504,2.83,1,10992,0.000142209,7031.939896477,383134,0,107062,31.9677,38029,0,2106,3.1730,0,14978968,7946.77,1,107062,35.14,0,59.9983,24.2419
equinix-nyc.dirA.20181115-135800.UTC.anon.ipv6.pcap,439629,99489,11803,0,0,555,0,0,0,274.87,52,1504,721.52 ,60,1504,3.55,1,17365,0.000136477,7327.245498432,407735,0,105998,34.5450,31339,0,1110,2.6551,0,22223656,10193.08,1,105998,37.20,0,59.9987,25.3461
equinix-nyc.dirA.20181115-135900.UTC.anon.ipv6.pcap,463170,124691,12007,0,0,496,0,0,0,325.39,52,1504,818.62 ,60,1504,4.31,1,18323,0.000129542,7719.509778045,423007,0,105616,35.2300,39667,0,1550,3.3036,0,26981597,12507.60,1,105616,38.53,0,59.9992,23.4096
equinix-nyc.dirA.20181115-140000.UTC.anon.ipv6.pcap,498309,126205,12547,0,0,580,0,0,0,325.36,52,1504,857.82 ,60,1504,4.10,1,18975,0.000120407,8305.183082312,456992,0,113828,36.4224,40737,0,4528,3.2467,0,27923810,12873.95,1,113828,39.66,0,59.9997,23.5269
